value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,label
98,80,76,79,63,52,68,57,77,71,87,72,57,63,50,65,48,36,50,57,69,77,78,77,59,48,29,30,50,61,73,71,58,52,46,49,46,64,81,69,77,62,57,73,71,80,64,63,62,52,59,75,69,88,68,60,48,53,40,37,20,2,5,4,7,7,12,16,25,38,1
35,47,65,81,70,74,61,53,47,32,27,47,49,29,34,28,9,17,27,42,61,68,73,54,67,86,69,52,52,62,64,66,63,80,64,82,72,79,64,75,64,79,61,80,72,76,71,64,58,63,73,69,80,72,68,75,82,76,72,60,47,50,43,53,62,59,76,76,66,68,1
16,22,19,17,30,19,35,35,30,15,3,9,11,21,13,18,24,30,13,22,25,44,33,14,6,16,18,17,23,32,32,21,13,12,9,4,7,24,37,55,75,59,53,36,54,41,44,51,57,37,50,46,62,79,84,87,87,96,90,88,80,96,78,89,71,69,62,63,59,42,0
23,7,1,15,12,21,37,33,21,1,17,20,4,2,7,27,8,13,5,4,16,3,17,26,32,51,63,51,65,82,69,61,44,64,48,41,32,31,15,25,17,23,39,49,66,72,61,81,62,61,68,62,76,56,59,67,72,70,83,82,62,57,77,69,72,75,79,93,79,75,0
48,62,67,66,60,56,56,46,61,81,67,69,52,56,60,67,65,68,60,73,76,72,77,64,60,75,61,70,84,67,66,72,62,58,77,60,74,64,75,55,72,77,72,92,77,70,69,70,77,58,46,31,47,63,78,95,80,79,80,67,52,63,56,65,68,73,56,62,44,48,1
38,26,18,1,6,19,11,6,6,3,20,38,54,53,46,28,9,8,9,14,4,21,20,24,30,38,28,9,5,10,28,33,36,31,40,49,64,64,74,94,92,74,89,89,77,95,79,60,61,68,74,84,70,68,85,65,85,71,71,79,96,88,78,98,99,84,98,96,99,84,0
87,77,77,71,53,42,27,42,47,66,60,57,63,77,78,69,59,78,88,69,64,56,58,42,56,41,21,41,37,53,53,41,58,41,52,56,76,63,77,80,62,69,51,49,61,65,67,70,65,56,60,67,72,85,76,70,67,66,71,56,65,73,79,72,78,90,76,78,59,51,1
19,10,3,10,16,17,22,2,15,9,4,24,26,32,26,35,50,58,42,50,52,40,28,43,63,71,91,76,56,39,59,58,38,45,37,25,26,41,55,75,72,86,66,74,74,75,55,60,72,73,75,78,71,66,49,58,71,65,83,65,79,64,48,53,66,74,63,63,82,79,1
82,80,62,60,64,62,57,52,66,64,48,38,55,62,74,79,80,78,66,85,66,68,51,66,67,62,80,67,78,69,86,71,62,68,51,33,44,61,62,59,60,69,63,77,59,63,56,52,57,41,61,71,58,63,51,66,83,72,52,63,80,65,47,63,49,32,43,61,70,71,1
21,20,18,34,36,34,23,39,52,52,71,65,66,62,48,52,53,42,37,29,43,52,36,54,39,56,73,72,90,75,59,45,39,36,52,58,60,68,71,75,74,74,93,80,61,60,50,31,25,30,12,18,20,24,19,23,41,30,31,30,19,26,27,18,7,1,12,30,27,17,0
26,44,47,51,50,34,19,35,43,62,59,65,54,50,70,83,65,62,57,38,53,53,63,59,57,53,64,53,35,52,49,56,42,27,16,2,20,35,33,23,38,23,25,15,35,43,51,46,58,54,68,84,82,81,65,47,33,37,46,41,29,29,20,14,2,21,28,31,29,22,0
27,33,39,33,40,50,42,47,58,71,61,75,82,78,65,53,73,63,79,80,72,59,61,81,65,50,56,40,35,24,38,53,70,77,63,76,80,64,82,63,55,67,63,80,66,64,72,59,75,85,78,73,73,55,60,43,43,42,48,29,38,35,31,44,61,55,44,45,36,24,1
48,67,55,52,43,35,21,35,27,46,63,51,59,79,96,77,75,61,70,59,49,46,50,35,42,54,65,59,70,64,76,83,76,70,63,67,62,60,55,64,76,77,80,89,77,74,74,65,55,60,69,53,72,59,66,70,80,60,48,52,47,36,48,66,54,51,48,50,63,82,1
82,84,66,75,71,82,68,86,79,73,64,51,46,66,79,82,90,85,69,53,62,46,38,52,56,49,54,51,50,63,49,38,32,28,18,34,40,40,50,33,53,49,48,52,71,73,67,79,77,71,91,75,70,81,82,93,85,90,89,85,69,81,87,71,87,73,70,80,65,46,0
100,80,80,68,59,43,42,48,50,31,33,19,11,7,21,36,54,55,46,44,60,73,55,62,60,70,62,70,66,76,74,68,81,71,61,75,66,51,53,65,71,83,71,60,42,22,18,17,10,9,8,23,7,8,2,19,27,11,25,36,39,49,61,49,50,55,69,85,76,58,1
72,84,77,92,82,65,47,43,39,36,32,44,28,44,52,59,49,61,75,77,78,63,82,93,77,66,63,46,43,49,48,36,53,49,65,83,69,66,61,68,56,52,48,30,39,50,30,15,34,29,34,48,66,52,55,70,66,51,66,62,82,65,63,68,58,69,73,84,97,100,0
99,98,95,87,71,55,64,50,38,28,36,51,65,78,96,87,92,84,82,71,61,70,85,68,84,93,82,91,83,93,96,86,88,78,70,88,91,82,84,96,94,80,80,69,77,97,79,74,88,88,81,66,66,63,49,67,84,88,86,96,95,93,98,100,95,94,75,58,78,85,0
45,56,74,85,65,54,37,45,31,48,33,23,11,30,31,49,37,54,66,71,66,54,56,50,48,43,47,61,53,39,52,45,47,49,45,37,43,24,40,49,32,41,23,16,11,8,23,43,54,36,16,9,16,9,28,19,1,16,30,17,10,1,6,9,19,22,17,19,11,30,0
62,82,69,72,72,63,53,53,34,52,37,32,30,24,30,13,29,12,12,28,18,35,50,68,73,69,68,79,71,56,52,69,86,69,50,53,54,62,79,61,69,84,66,49,49,66,56,48,57,64,55,48,51,68,65,64,48,53,58,77,64,78,59,63,44,56,64,79,67,82,1
39,21,3,6,22,28,36,30,45,29,11,19,25,36,36,32,20,26,27,47,49,39,28,30,14,26,9,11,27,44,57,39,50,55,52,38,30,15,35,45,61,44,27,14,11,2,18,18,22,13,17,17,36,44,39,59,49,50,59,46,43,38,37,55,42,51,68,76,68,64,0
55,71,53,36,37,31,49,45,35,51,71,56,45,57,51,68,54,68,72,60,68,69,70,81,62,76,73,79,77,75,68,62,44,63,63,56,53,71,73,88,75,74,79,63,60,72,53,67,81,78,72,61,53,58,57,52,50,40,49,52,63,82,73,78,67,80,65,64,61,79,1
100,94,90,87,88,77,76,87,75,85,95,85,100,88,71,64,72,79,83,85,97,85,89,86,72,75,94,94,96,98,80,70,51,45,39,23,42,37,37,25,11,27,23,4,8,26,13,16,20,32,43,57,51,62,71,69,72,53,53,48,67,85,100,88,69,64,72,58,52,54,0
95,98,81,74,66,68,55,47,27,33,29,49,37,43,48,48,31,24,14,4,2,5,16,28,9,3,8,25,29,31,46,50,46,51,67,67,51,54,43,24,29,17,30,48,63,74,61,43,26,30,36,31,33,38,32,37,41,31,23,3,4,19,22,37,21,19,31,33,34,44,0
97,78,62,79,72,59,53,54,36,21,10,17,32,27,39,38,24,14,21,19,14,28,22,41,34,41,44,60,73,87,79,70,67,77,77,66,65,57,58,66,84,71,65,49,50,55,62,78,80,79,94,78,68,75,62,62,53,58,39,52,60,52,45,50,35,43,54,40,52,60,1
68,79,61,69,85,68,75,70,56,62,50,39,36,26,7,7,5,21,39,54,57,72,71,67,79,61,45,49,44,47,66,85,67,47,50,36,32,26,45,62,62,82,65,74,72,79,74,72,57,77,79,76,60,70,72,70,80,72,75,72,77,77,57,75,81,64,66,77,67,63,1
54,64,75,94,77,95,87,73,68,85,65,50,51,60,47,29,18,25,12,31,48,63,83,85,95,76,59,72,59,70,60,62,47,36,19,3,12,29,9,14,28,18,30,49,30,15,24,17,36,17,3,23,9,28,11,30,24,26,45,46,65,51,48,65,69,63,48,68,59,54,0
87,71,53,58,75,62,54,50,59,59,64,83,71,54,54,53,72,54,49,40,40,55,68,73,68,49,42,62,75,66,78,64,65,64,46,59,69,60,59,77,91,77,70,55,56,60,53,69,80,61,58,78,80,74,89,74,67,64,52,37,32,49,48,56,43,61,66,61,65,65,1
95,78,64,70,55,62,53,56,53,73,62,67,65,65,52,43,58,49,66,79,93,80,67,55,66,54,35,51,40,38,36,50,61,81,80,77,62,73,69,69,55,41,52,71,88,79,64,65,77,70,77,73,67,75,56,57,73,57,67,47,54,54,42,53,35,50,61,62,78,79,1
7,19,31,43,33,52,71,63,52,69,68,68,61,64,83,69,53,38,57,71,59,39,57,56,41,52,44,62,81,81,97,88,73,67,67,67,74,89,85,71,73,74,63,60,41,32,50,51,52,53,38,54,53,38,26,34,50,34,26,32,34,50,63,67,83,85,92,94,99,90,0
88,74,65,80,65,58,75,68,72,65,79,70,57,77,95,78,73,53,36,33,48,66,79,76,65,73,80,73,68,79,98,78,71,59,63,67,65,71,75,68,65,61,80,78,63,74,57,76,90,77,74,56,53,46,27,26,29,23,6,15,16,34,32,23,18,22,5,2,9,28,1
35,36,27,10,12,26,39,53,61,71,52,65,71,63,55,54,36,32,27,44,42,24,39,26,44,52,34,46,47,59,54,70,78,73,56,73,80,64,44,42,50,35,29,9,27,38,28,25,22,15,26,14,2,17,29,33,42,29,42,32,43,55,62,80,81,71,84,66,57,48,0
36,44,64,61,53,65,67,85,74,74,66,72,64,46,52,58,76,92,74,76,58,52,38,55,74,64,51,53,51,45,44,36,54,37,29,41,46,65,83,65,59,50,51,34,49,32,22,9,14,9,4,4,1,15,29,39,24,11,8,24,44,61,69,68,74,82,77,78,73,69,1
72,88,91,84,86,89,81,99,83,77,80,70,66,53,56,73,79,65,68,74,90,100,92,74,75,92,93,80,88,77,73,59,73,92,74,66,51,47,28,46,63,75,77,89,93,86,100,88,97,83,70,56,62,66,69,76,89,88,77,92,86,68,59,71,76,96,98,86,71,53,0
53,46,31,18,33,48,57,45,51,62,75,70,74,84,69,80,76,77,74,56,74,71,56,70,77,68,85,79,69,70,55,63,48,50,42,54,44,50,70,63,79,70,56,68,53,72,65,62,64,71,81,76,64,74,70,76,62,70,52,35,39,59,74,79,77,81,73,62,68,76,1
40,60,63,76,58,75,56,58,77,76,63,77,59,70,80,90,98,78,69,66,69,84,92,96,98,80,89,85,94,90,95,93,77,96,99,80,68,86,91,91,75,78,88,91,91,92,77,78,78,87,76,58,76,84,88,69,61,67,75,68,51,38,22,28,31,44,51,54,38,30,0
3,5,4,3,3,20,31,45,36,45,49,51,47,66,46,42,62,76,73,62,74,59,59,68,73,59,59,76,88,70,61,73,76,62,49,65,79,65,48,61,79,80,92,96,86,74,68,75,84,86,69,62,60,63,78,64,61,55,39,59,74,73,59,48,28,41,43,52,71,69,0
10,19,30,10,27,10,23,9,26,6,25,44,49,45,55,42,26,6,15,7,14,27,41,47,46,43,62,43,52,69,78,64,82,74,86,95,97,89,92,91,98,96,92,84,79,73,63,54,55,59,41,44,48,36,43,52,38,28,17,3,19,2,17,29,10,21,16,10,4,11,0
38,24,6,15,30,42,58,74,70,69,81,87,86,99,83,80,78,95,91,93,83,64,67,47,48,41,59,78,70,61,47,28,10,8,4,13,30,45,61,54,59,78,64,71,58,52,36,48,63,78,60,61,62,73,90,87,89,89,92,92,75,69,69,68,67,71,81,64,72,86,0
70,69,65,46,27,16,1,2,15,20,32,28,46,47,31,11,31,28,12,30,34,20,14,7,17,13,24,39,30,27,29,30,34,38,53,53,61,48,32,13,23,4,22,22,18,31,35,21,25,22,33,20,14,6,23,25,19,22,37,19,9,5,12,29,9,1,21,21,27,8,0
63,47,42,51,44,57,62,53,72,71,69,87,76,59,73,68,72,64,68,79,65,75,82,74,66,53,57,39,33,34,22,22,25,44,46,60,55,50,40,57,65,82,73,61,74,70,73,70,66,51,57,70,80,64,83,72,56,53,55,65,65,61,49,48,32,46,54,37,45,59,1
1,16,17,27,43,60,59,72,54,43,56,58,49,47,58,68,49,57,75,75,71,85,66,63,49,56,40,53,59,57,64,77,61,77,86,89,73,71,69,68,79,71,78,97,95,91,94,89,80,76,58,55,48,30,34,20,39,43,39,30,16,28,41,47,53,67,51,38,31,27,0
63,58,38,27,19,33,29,48,43,38,18,21,24,23,16,1,21,7,5,4,16,17,30,43,62,48,47,59,74,65,59,53,52,48,56,59,79,73,64,62,54,66,75,61,58,62,53,66,66,52,61,56,74,75,70,54,42,49,59,58,55,51,60,75,68,72,91,74,55,64,0
6,19,37,43,33,21,16,18,13,7,17,9,26,27,34,29,44,48,55,63,43,53,62,81,85,82,98,88,76,70,78,94,78,66,82,71,75,92,81,98,97,86,74,56,46,29,36,56,73,63,74,71,90,91,100,93,91,86,68,60,76,85,78,93,78,89,77,96,87,91,0
76,61,70,76,57,42,43,39,47,61,47,41,37,39,54,59,70,72,78,62,78,96,80,68,61,75,67,78,60,76,90,70,67,51,49,49,64,50,48,58,77,79,75,60,76,66,71,91,74,67,70,73,57,70,64,64,60,59,69,74,67,55,69,86,75,75,69,59,51,68,1
80,64,77,83,98,81,67,83,98,92,89,85,70,75,80,84,96,78,66,82,99,91,93,75,77,91,92,95,97,81,72,71,68,54,59,50,63,74,83,64,51,63,72,79,71,74,86,70,55,38,51,59,59,64,75,76,96,89,70,86,66,77,88,91,82,82,73,72,88,87,0
71,51,69,85,82,69,63,48,64,65,55,60,47,35,27,9,3,7,3,11,14,28,38,26,32,23,10,12,9,22,19,30,20,2,21,26,19,28,42,27,42,33,46,31,47,63,50,66,85,97,96,84,94,75,65,80,63,59,54,63,81,65,84,100,90,95,93,93,100,98,0
2,2,8,28,9,1,21,22,11,16,19,22,6,22,14,19,20,3,18,14,15,21,37,33,51,55,45,39,21,30,22,8,14,18,20,16,9,22,32,36,28,25,6,18,31,30,38,48,40,38,27,30,29,30,36,56,65,80,83,97,79,82,86,68,67,71,87,83,89,93,0
34,18,29,36,31,24,5,24,43,26,46,56,61,67,80,90,85,75,62,53,67,80,72,78,65,65,85,75,76,76,83,65,51,44,38,26,12,12,19,27,24,16,1,6,21,34,26,46,48,28,30,37,48,35,40,33,36,44,27,24,17,27,47,29,38,53,55,52,71,60,0
56,71,90,77,66,59,52,44,56,52,66,70,76,73,63,81,68,70,62,69,71,63,63,66,50,49,43,56,44,49,40,40,41,53,57,70,80,60,65,57,71,63,82,69,62,66,74,60,63,52,36,54,61,59,40,22,41,55,74,88,79,74,63,57,75,65,56,55,71,61,1
51,38,51,34,44,61,43,57,55,63,52,43,52,61,58,61,72,60,63,68,50,52,42,31,46,38,46,63,55,60,59,43,42,35,28,15,13,24,18,1,2,18,3,23,28,21,41,28,23,23,12,25,29,46,47,30,13,30,11,29,44,44,44,44,27,7,26,7,9,23,0
80,66,62,53,69,74,71,74,75,63,76,67,55,74,91,80,64,79,80,77,65,64,56,66,51,68,71,69,54,54,34,42,59,60,80,74,81,62,70,73,75,77,63,58,77,71,91,79,77,64,78,65,76,56,72,74,76,71,70,65,75,80,87,73,75,58,49,67,78,67,1
73,55,70,77,75,73,76,78,65,49,60,51,70,85,78,62,54,54,39,53,65,54,59,45,30,19,39,58,69,72,77,57,50,30,36,39,47,67,71,73,87,76,65,53,59,61,71,76,62,65,65,47,49,60,62,79,76,82,80,80,75,66,62,42,49,64,83,67,73,78,1
14,19,18,7,2,7,10,17,30,30,46,34,49,50,44,37,43,40,29,30,32,52,36,40,20,24,36,52,38,41,35,25,21,23,6,22,35,24,40,29,19,31,20,38,25,15,20,24,10,28,28,13,31,22,38,30,40,28,34,30,17,27,46,40,58,43,54,41,55,65,0
31,49,41,54,44,48,40,37,53,71,85,69,70,58,55,72,52,60,73,77,80,74,84,64,76,68,53,64,66,47,52,52,66,75,57,42,37,52,62,82,72,52,62,58,50,70,57,46,32,47,41,58,49,61,49,34,15,31,16,27,23,31,45,40,53,48,66,84,72,73,1
99,87,76,57,59,56,36,26,42,57,69,84,87,91,93,94,95,75,73,86,88,93,94,76,59,71,61,60,71,65,69,65,66,79,91,95,88,97,98,99,97,82,65,52,70,59,66,66,46,62,75,65,60,78,71,51,61,52,58,54,49,29,38,54,56,62,78,73,76,83,0
83,63,73,53,67,68,49,44,48,66,76,63,62,64,51,52,48,50,31,35,44,51,46,27,17,28,33,46,44,57,73,57,45,41,61,45,57,62,79,97,79,62,52,37,29,47,51,55,71,83,68,71,79,73,56,38,50,62,70,54,52,53,65,58,68,65,76,71,81,64,1
94,98,89,93,88,76,57,50,53,73,81,83,75,80,81,100,85,69,54,34,33,39,51,51,41,21,14,19,3,15,29,9,18,30,19,27,9,16,10,25,12,11,28,46,54,74,66,71,54,67,64,65,55,43,56,76,73,74,94,83,90,99,81,67,54,65,45,49,54,68,0
85,75,67,66,62,67,65,76,73,77,61,51,44,33,51,67,76,95,76,68,70,70,54,74,55,64,53,63,69,80,73,55,64,79,63,80,65,65,69,58,69,67,64,77,77,57,58,55,74,79,85,69,66,65,79,67,50,66,80,96,77,70,80,64,46,36,36,50,68,69,1
64,45,65,85,77,74,68,64,59,68,51,56,69,77,80,72,72,75,56,73,72,76,89,72,80,62,79,72,55,53,53,68,74,76,71,77,80,60,42,53,64,83,78,69,54,41,48,64,71,66,69,79,61,77,77,57,63,81,80,64,74,71,62,79,61,78,77,77,78,59,1
85,66,47,61,41,58,63,62,51,43,59,70,63,45,26,21,41,34,45,63,45,54,47,36,56,70,66,82,62,50,48,28,20,31,32,51,65,61,63,54,34,54,53,68,81,68,61,74,78,76,76,76,59,65,79,61,71,76,79,87,71,54,52,32,20,20,38,52,72,53,1
